Chrom	Start	End	U90(w<0.01,y=(=1.0))	Q95(w<0.01,y=(=1.0))	Overlapping Candidate
chr1	64650001	64700000	19	1.0	chr1:64661929,chr1:64662800,chr1:64662855,chr1:64662894,chr1:64663150,chr1:64665381,chr1:64665616,chr1:64666207,chr1:64666242,chr1:64666594,chr1:64666652,chr1:64666742,chr1:64667853,chr1:64668241,chr1:64668450,chr1:64669942,chr1:64670598,chr1:64670806,chr1:64673834
chr1	78950001	79000000	17	1.0	chr1:78951606,chr1:78959669,chr1:78994378,chr1:78995655,chr1:78995687,chr1:78995872,chr1:78996405,chr1:78996458,chr1:78996471,chr1:78996850,chr1:78997060,chr1:78997153,chr1:78997231,chr1:78997249,chr1:78997792,chr1:78998328
chr1	84300001	84350000	28	1.0	chr1:84340420,chr1:84340797,chr1:84342811,chr1:84343388,chr1:84343467,chr1:84343538,chr1:84343930,chr1:84343988
chr1	235500001	235550000	63	1.0	chr1:235514007,chr1:235516859,chr1:235516951,chr1:235517626,chr1:235518033,chr1:235518790,chr1:235519090,chr1:235519114,chr1:235519115,chr1:235519148,chr1:235519162,chr1:235519397,chr1:235519535,chr1:235519552,chr1:235519616,chr1:235519961,chr1:235520586,chr1:235520911,chr1:235521059,chr1:235521355,chr1:235521922,chr1:235523073,chr1:235523354,chr1:235523804,chr1:235523915,chr1:235524302,chr1:235524328,chr1:235524560,chr1:235524741,chr1:235524900,chr1:235525217,chr1:235525233,chr1:235525239,chr1:235525275,chr1:235526873,chr1:235527019,chr1:235527102,chr1:235527109,chr1:235527187,chr1:235527222,chr1:235528231,chr1:235529197,chr1:235529295,chr1:235529580,chr1:235529583,chr1:235530535,chr1:235530639,chr1:235530651,chr1:235530657,chr1:235530763,chr1:235531328,chr1:235531383,chr1:235531416,chr1:235532059,chr1:235532247,chr1:235532419
chr2	74650001	74700000	17	1.0	chr2:74653002,chr2:74675449,chr2:74677058,chr2:74677136,chr2:74677314,chr2:74681252,chr2:74681971,chr2:74682573,chr2:74682926,chr2:74685645,chr2:74685687
chr2	177050001	177100000	19	1.0	chr2:177075424,chr2:177076526,chr2:177078647,chr2:177079000,chr2:177079123
chr3	69950001	70000000	17	1.0	chr3:69977583,chr3:69980818,chr3:69982610,chr3:69982643,chr3:69982769,chr3:69983199,chr3:69985545,chr3:69985932,chr3:69986322,chr3:69986534,chr3:69986561,chr3:69986570,chr3:69987111,chr3:69989942,chr3:69991028,chr3:69991528
chr3	82700001	82750000	18	1.0	chr3:82714710,chr3:82717409,chr3:82717527,chr3:82718983,chr3:82719232,chr3:82723650
chr4	98300001	98350000	26	1.0	chr4:98327904,chr4:98329484,chr4:98329514,chr4:98329572,chr4:98329763,chr4:98332120,chr4:98332288,chr4:98332477,chr4:98332509,chr4:98332533,chr4:98332784,chr4:98332795,chr4:98334770,chr4:98336609,chr4:98336957,chr4:98336998,chr4:98337096,chr4:98337125,chr4:98337138,chr4:98337419,chr4:98339227,chr4:98339341,chr4:98339363,chr4:98340010,chr4:98342030
chr4	155100001	155150000	30	1.0	chr4:155138792,chr4:155139298,chr4:155139468,chr4:155139671,chr4:155139831,chr4:155140231,chr4:155140290,chr4:155140352,chr4:155140545,chr4:155140610,chr4:155140642,chr4:155140796,chr4:155141634,chr4:155141849,chr4:155142079,chr4:155142239,chr4:155142256,chr4:155142294,chr4:155143531,chr4:155143550,chr4:155143814,chr4:155144151,chr4:155144221,chr4:155144550,chr4:155145041,chr4:155145224,chr4:155145230,chr4:155145305,chr4:155145356,chr4:155146269
