Chrom	Start	End	U90(w<0.01,y=(=1.0))	Q95(w<0.01,y=(=1.0))	Overlapping Candidate
chr1	64650001	64700000	51	1.0	chr1:64661929,chr1:64661971,chr1:64662800,chr1:64662855,chr1:64662894,chr1:64662997,chr1:64662999,chr1:64663150,chr1:64663269,chr1:64663272,chr1:64663278,chr1:64663505,chr1:64665381,chr1:64665616,chr1:64665655,chr1:64665695,chr1:64665719,chr1:64665792,chr1:64665960,chr1:64665986,chr1:64666011,chr1:64666033,chr1:64666207,chr1:64666242,chr1:64666243,chr1:64666244,chr1:64666529,chr1:64666594,chr1:64666652,chr1:64666676,chr1:64666742,chr1:64667037,chr1:64667822,chr1:64667853,chr1:64668241,chr1:64668331,chr1:64668445,chr1:64668450,chr1:64668575,chr1:64668661,chr1:64669942,chr1:64670380,chr1:64670598,chr1:64670619,chr1:64670806,chr1:64673428,chr1:64673834,chr1:64691688,chr1:64694628
chr1	78950001	79000000	52	1.0	chr1:78951325,chr1:78951606,chr1:78957379,chr1:78958624,chr1:78958726,chr1:78959669,chr1:78960396,chr1:78960819,chr1:78962278,chr1:78962917,chr1:78963087,chr1:78975443,chr1:78978274,chr1:78983175,chr1:78989338,chr1:78993998,chr1:78994003,chr1:78994136,chr1:78994370,chr1:78994378,chr1:78994397,chr1:78994398,chr1:78994926,chr1:78995549,chr1:78995655,chr1:78995687,chr1:78995753,chr1:78995872,chr1:78996169,chr1:78996405,chr1:78996446,chr1:78996458,chr1:78996471,chr1:78996560,chr1:78996639,chr1:78996654,chr1:78996730,chr1:78996850,chr1:78997060,chr1:78997153,chr1:78997231,chr1:78997249,chr1:78997657,chr1:78997679,chr1:78997680,chr1:78997792,chr1:78998328
chr1	84300001	84350000	63	1.0	chr1:84307602,chr1:84309895,chr1:84320087,chr1:84325559,chr1:84325562,chr1:84328427,chr1:84335726,chr1:84337652,chr1:84339342,chr1:84339347,chr1:84339358,chr1:84340224,chr1:84340403,chr1:84340420,chr1:84340797,chr1:84341740,chr1:84342207,chr1:84342642,chr1:84342811,chr1:84343388,chr1:84343467,chr1:84343538,chr1:84343930,chr1:84343988,chr1:84345586
chr1	235500001	235550000	151	1.0	chr1:235513406,chr1:235513925,chr1:235514007,chr1:235514112,chr1:235514236,chr1:235515544,chr1:235515613,chr1:235516623,chr1:235516684,chr1:235516859,chr1:235516951,chr1:235517271,chr1:235517429,chr1:235517626,chr1:235517649,chr1:235518033,chr1:235518790,chr1:235518812,chr1:235518843,chr1:235518989,chr1:235519079,chr1:235519090,chr1:235519114,chr1:235519115,chr1:235519148,chr1:235519162,chr1:235519397,chr1:235519454,chr1:235519506,chr1:235519535,chr1:235519552,chr1:235519616,chr1:235519617,chr1:235519717,chr1:235519961,chr1:235520089,chr1:235520138,chr1:235520586,chr1:235520911,chr1:235521059,chr1:235521270,chr1:235521355,chr1:235521922,chr1:235522019,chr1:235522337,chr1:235522350,chr1:235523073,chr1:235523307,chr1:235523354,chr1:235523796,chr1:235523804,chr1:235523870,chr1:235523915,chr1:235524029,chr1:235524302,chr1:235524328,chr1:235524413,chr1:235524560,chr1:235524741,chr1:235524815,chr1:235524874,chr1:235524899,chr1:235524900,chr1:235524974,chr1:235524996,chr1:235525079,chr1:235525083,chr1:235525107,chr1:235525217,chr1:235525226,chr1:235525233,chr1:235525239,chr1:235525275,chr1:235525328,chr1:235525468,chr1:235525497,chr1:235525695,chr1:235525984,chr1:235526214,chr1:235526272,chr1:235526445,chr1:235526552,chr1:235526620,chr1:235526756,chr1:235526849,chr1:235526873,chr1:235527019,chr1:235527102,chr1:235527109,chr1:235527187,chr1:235527222,chr1:235527755,chr1:235528122,chr1:235528203,chr1:235528209,chr1:235528231,chr1:235528531,chr1:235529158,chr1:235529194,chr1:235529197,chr1:235529294,chr1:235529295,chr1:235529366,chr1:235529498,chr1:235529534,chr1:235529563,chr1:235529580,chr1:235529583,chr1:235530535,chr1:235530617,chr1:235530639,chr1:235530651,chr1:235530657,chr1:235530748,chr1:235530763,chr1:235530764,chr1:235531014,chr1:235531233,chr1:235531328,chr1:235531383,chr1:235531416,chr1:235531517,chr1:235531518,chr1:235531588,chr1:235531726,chr1:235531729,chr1:235531872,chr1:235532059,chr1:235532219,chr1:235532247,chr1:235532419,chr1:235533283,chr1:235533392,chr1:235542634,chr1:235544097,chr1:235545808
chr2	177050001	177100000	55	1.0	chr2:177050783,chr2:177051458,chr2:177055588,chr2:177059807,chr2:177068341,chr2:177075127,chr2:177075424,chr2:177075437,chr2:177076441,chr2:177076526,chr2:177078647,chr2:177079000,chr2:177079123,chr2:177079229
chr2	200850001	200900000	63	1.0	chr2:200857503,chr2:200868022,chr2:200869003,chr2:200869086,chr2:200872738,chr2:200874149,chr2:200876157,chr2:200876433,chr2:200876691,chr2:200877299,chr2:200878664,chr2:200881215,chr2:200883000,chr2:200883080,chr2:200884583,chr2:200886148,chr2:200886717,chr2:200887258,chr2:200887627,chr2:200887847,chr2:200888146,chr2:200892372,chr2:200893095,chr2:200895105
chr3	69950001	70000000	53	1.0	chr3:69977292,chr3:69977583,chr3:69977818,chr3:69977853,chr3:69977862,chr3:69979534,chr3:69980818,chr3:69981717,chr3:69981950,chr3:69982103,chr3:69982398,chr3:69982438,chr3:69982610,chr3:69982643,chr3:69982769,chr3:69982903,chr3:69983178,chr3:69983199,chr3:69983998,chr3:69984405,chr3:69985188,chr3:69985545,chr3:69985932,chr3:69986004,chr3:69986005,chr3:69986322,chr3:69986534,chr3:69986561,chr3:69986570,chr3:69986900,chr3:69986929,chr3:69986947,chr3:69987111,chr3:69987182,chr3:69987435,chr3:69987732,chr3:69988583,chr3:69988931,chr3:69989361,chr3:69989942,chr3:69990642,chr3:69991028,chr3:69991069,chr3:69991528,chr3:69995081,chr3:69996433,chr3:69997087
chr3	76650001	76700000	43	1.0	chr3:76677763,chr3:76679075,chr3:76679076,chr3:76679122,chr3:76679836,chr3:76679933,chr3:76680101,chr3:76680197,chr3:76680267,chr3:76680453,chr3:76680606,chr3:76680640,chr3:76680996,chr3:76681564,chr3:76681657,chr3:76681658,chr3:76681696,chr3:76681708,chr3:76681801,chr3:76682238,chr3:76682327,chr3:76682921,chr3:76683661,chr3:76684177,chr3:76684178,chr3:76684316,chr3:76684360,chr3:76691453
chr3	82700001	82750000	51	1.0	chr3:82714710,chr3:82714782,chr3:82715141,chr3:82717409,chr3:82717527,chr3:82718060,chr3:82718184,chr3:82718983,chr3:82719232,chr3:82719488,chr3:82719520,chr3:82720092,chr3:82723513,chr3:82723650,chr3:82728634,chr3:82728945
chr4	98300001	98350000	50	1.0	chr4:98305608,chr4:98306404,chr4:98308438,chr4:98313940,chr4:98317465,chr4:98319597,chr4:98327904,chr4:98328224,chr4:98328530,chr4:98329004,chr4:98329484,chr4:98329514,chr4:98329572,chr4:98329585,chr4:98329626,chr4:98329763,chr4:98331509,chr4:98332120,chr4:98332288,chr4:98332292,chr4:98332477,chr4:98332509,chr4:98332533,chr4:98332784,chr4:98332795,chr4:98334770,chr4:98336609,chr4:98336957,chr4:98336963,chr4:98336998,chr4:98337087,chr4:98337096,chr4:98337125,chr4:98337138,chr4:98337190,chr4:98337419,chr4:98338631,chr4:98339227,chr4:98339341,chr4:98339363,chr4:98339554,chr4:98339803,chr4:98340010,chr4:98340616,chr4:98342030,chr4:98345079
chr4	138950001	139000000	54	1.0	chr4:138976977,chr4:138977130,chr4:138984058,chr4:138992317,chr4:138994761,chr4:138995482
chr4	155100001	155150000	60	1.0	chr4:155107102,chr4:155138792,chr4:155138835,chr4:155138847,chr4:155138848,chr4:155139227,chr4:155139277,chr4:155139298,chr4:155139468,chr4:155139671,chr4:155139831,chr4:155139891,chr4:155139951,chr4:155140186,chr4:155140231,chr4:155140244,chr4:155140290,chr4:155140348,chr4:155140352,chr4:155140501,chr4:155140545,chr4:155140610,chr4:155140642,chr4:155140644,chr4:155140796,chr4:155141313,chr4:155141634,chr4:155141849,chr4:155141866,chr4:155142079,chr4:155142213,chr4:155142216,chr4:155142239,chr4:155142256,chr4:155142294,chr4:155142377,chr4:155142398,chr4:155142701,chr4:155143531,chr4:155143550,chr4:155143814,chr4:155144151,chr4:155144221,chr4:155144550,chr4:155144967,chr4:155145041,chr4:155145080,chr4:155145176,chr4:155145224,chr4:155145226,chr4:155145230,chr4:155145269,chr4:155145305,chr4:155145356,chr4:155145407,chr4:155146235,chr4:155146269,chr4:155146284
chr4	172800001	172850000	49	1.0	chr4:172814755,chr4:172825389,chr4:172826005,chr4:172839033,chr4:172840972,chr4:172841364,chr4:172841552,chr4:172841570,chr4:172843734,chr4:172843983,chr4:172844054,chr4:172844169,chr4:172844171,chr4:172844172,chr4:172844180,chr4:172844192,chr4:172844228,chr4:172844240,chr4:172844268,chr4:172844309,chr4:172844314,chr4:172844352,chr4:172844391,chr4:172844457,chr4:172844536,chr4:172844765,chr4:172844779,chr4:172844895,chr4:172844944,chr4:172844951,chr4:172845034,chr4:172845090,chr4:172845445,chr4:172845561,chr4:172845742,chr4:172846391,chr4:172846918,chr4:172847036,chr4:172847856,chr4:172847885
chr5	10900001	10950000	46	1.0	chr5:10922270,chr5:10922321,chr5:10922392,chr5:10922741,chr5:10922776,chr5:10922914,chr5:10922916,chr5:10923000,chr5:10923169,chr5:10923457,chr5:10923567,chr5:10923600,chr5:10923642,chr5:10923702,chr5:10923763,chr5:10923784,chr5:10923858,chr5:10924041,chr5:10924092,chr5:10924255,chr5:10927127,chr5:10927269,chr5:10927355,chr5:10927784,chr5:10928179,chr5:10928617,chr5:10929575,chr5:10931715,chr5:10931766,chr5:10932810,chr5:10935228,chr5:10935238,chr5:10935255,chr5:10935256,chr5:10936614
