Chrom	Start	End	U90(w<0.01,y=(=1.0))	Q95(w<0.01,y=(=1.0))	Overlapping Candidate
chr1	900001	950000	0	0.0	NA
chr1	950001	1000000	0	0.0	NA
chr1	1000001	1050000	0	0.0	NA
chr1	1050001	1100000	0	0.0	NA
chr1	1100001	1150000	0	0.1176470588235294	NA
chr1	1150001	1200000	0	0.0	NA
chr1	1200001	1250000	0	0.0	NA
chr1	1250001	1300000	1	0.7279411764705882	chr1:1251264
chr1	1300001	1350000	0	0.0	NA
chr1	1350001	1400000	1	0.19705882352941	chr1:1388226
chr1	1400001	1450000	0	0.0	NA
chr1	1500001	1550000	0	0.0235294117647058	NA
chr1	1550001	1600000	4	0.9705882352941176	chr1:1560563,chr1:1564104,chr1:1568144,chr1:1569064
chr1	1600001	1650000	1	0.3691176470588231	chr1:1611055
chr1	1650001	1700000	0	0.1558823529411761	NA
chr1	1700001	1750000	0	0.0	NA
chr1	1750001	1800000	0	0.3852941176470584	NA
chr1	1800001	1850000	1	0.1749999999999992	chr1:1829322
chr1	1850001	1900000	0	0.0	NA
chr1	1900001	1950000	0	0.2588235294117638	NA
chr1	1950001	2000000	0	0.7485294117647048	NA
chr1	2000001	2050000	0	0.4264705882352941	NA
chr1	2050001	2100000	2	0.9338235294117648	chr1:2059581
chr1	2100001	2150000	2	0.9117647058823528	chr1:2102302,chr1:2130095
chr1	2150001	2200000	0	0.5588235294117647	NA
chr1	2200001	2250000	0	0.3058823529411763	NA
chr1	2250001	2300000	0	0.0	NA
chr1	2300001	2350000	0	0.0	NA
chr1	2350001	2400000	0	0.0132352941176469	NA
chr1	2400001	2450000	0	0.1249999999999999	NA
chr1	2450001	2500000	0	0.0	NA
chr1	2500001	2550000	0	0.6999999999999998	NA
chr1	2550001	2600000	1	0.4264705882352938	chr1:2573552
chr1	2600001	2650000	1	0.652941176470588	chr1:2625222
chr1	2750001	2800000	0	0.0044117647058824	NA
chr1	2800001	2850000	0	0.2720588235294118	NA
chr1	2850001	2900000	0	0.2647058823529412	NA
chr1	2900001	2950000	0	0.0	NA
chr1	2950001	3000000	0	0.3999999999999994	NA
chr1	3000001	3050000	1	0.5	chr1:3038064
chr1	3050001	3100000	2	0.9470588235294116	chr1:3059027
chr1	3100001	3150000	0	0.0	NA
chr1	3150001	3200000	0	0.0294117647058823	NA
chr1	3200001	3250000	0	0.0	NA
chr1	3250001	3300000	1	0.6323529411764708	chr1:3258724
chr1	3300001	3350000	0	0.1647058823529411	NA
chr1	3350001	3400000	0	0.6470588235294118	NA
chr1	3400001	3450000	0	0.0	NA
