Chrom	Start	End	U50(w<0.01,y=(=0.0,=1.0))	Q95(w<0.01,y=(=0.0,=1.0))	Overlapping Candidate
1	800001	840000	0	0.0	NA
1	840001	880000	0	0.0	NA
1	880001	920000	0	0.0	NA
1	920001	960000	0	0.0	NA
1	960001	1000000	0	0.0	NA
1	1000001	1040000	0	0.0	NA
1	1040001	1080000	0	0.0009940357852882	NA
1	1080001	1120000	0	0.0005467196819085	NA
1	1120001	1160000	0	0.0	NA
1	1160001	1200000	0	0.0	NA
1	1200001	1240000	0	0.0	NA
1	1240001	1280000	0	0.0	NA
1	1280001	1320000	0	0.0	NA
1	1360001	1400000	0	0.0009940357852882	NA
1	1400001	1440000	0	0.0009443339960238	NA
1	1440001	1480000	0	0.0	NA
1	1480001	1520000	0	0.01058648111332	NA
1	1520001	1560000	0	0.0009443339960238	NA
1	1600001	1640000	0	0.0	NA
1	1680001	1720000	0	0.0	NA
1	1800001	1840000	0	0.0	NA
1	1840001	1880000	0	0.0	NA
1	1880001	1920000	0	0.0	NA
1	1920001	1960000	0	0.0	NA
1	1960001	2000000	0	0.0	NA
1	2000001	2040000	0	0.0001988071570576	NA
1	2040001	2080000	0	0.0	NA
1	2080001	2120000	0	0.0	NA
1	2120001	2160000	0	0.0	NA
1	2160001	2200000	0	0.0	NA
1	2200001	2240000	0	0.0	NA
1	2240001	2280000	0	0.0006958250497017	NA
1	2280001	2320000	0	0.0	NA
1	2320001	2360000	0	0.0	NA
1	2400001	2440000	0	0.0	NA
1	2440001	2480000	0	0.0764910536779324	NA
1	2480001	2520000	0	0.0	NA
1	2520001	2560000	0	0.0	NA
1	2680001	2720000	0	0.0050695825049701	NA
1	2720001	2760000	0	0.0	NA
1	2760001	2800000	0	0.0009940357852882	NA
1	2800001	2840000	0	0.0	NA
1	2840001	2880000	0	0.0008946322067594	NA
1	2880001	2920000	0	0.0008946322067594	NA
1	2920001	2960000	0	0.0019880715705765	NA
1	3000001	3040000	0	0.0093936381709741	NA
1	3040001	3080000	0	0.0009940357852882	NA
1	3080001	3120000	0	0.0	NA
1	3120001	3160000	0	0.0015904572564612	NA
1	3160001	3200000	0	0.0	NA
1	3200001	3240000	0	0.0009940357852882	NA
1	3240001	3280000	0	0.0	NA
1	3320001	3360000	0	0.0009443339960238	NA
1	3360001	3400000	0	0.0004473161033797	NA
1	3440001	3480000	0	0.0	NA
1	3480001	3520000	0	0.0	NA
1	3560001	3600000	0	0.0	NA
1	3600001	3640000	0	0.0	NA
1	3640001	3680000	0	0.0	NA
1	3720001	3760000	0	0.0	NA
1	3760001	3800000	0	0.1492047713717693	NA
1	3800001	3840000	0	0.0	NA
1	4040001	4080000	0	0.0	NA
1	4080001	4120000	0	0.0056660039761431	NA
1	4120001	4160000	0	0.0018886679920477	NA
1	4160001	4200000	0	0.0098409542743538	NA
1	4200001	4240000	0	0.0	NA
1	4240001	4280000	0	0.0	NA
1	4800001	4840000	0	0.0188866799204771	NA
1	4920001	4960000	0	0.0	NA
1	5000001	5040000	0	0.0	NA
1	5120001	5160000	0	0.0	NA
1	5200001	5240000	0	0.0	NA
1	5240001	5280000	0	0.0008946322067594	NA
1	5280001	5320000	0	0.0	NA
1	5360001	5400000	0	0.0	NA
1	5400001	5440000	0	0.0	NA
1	5440001	5480000	0	0.0	NA
1	5480001	5520000	0	0.0052186878727634	NA
1	5520001	5560000	0	0.0	NA
1	5560001	5600000	0	0.0011928429423459	NA
1	5640001	5680000	0	0.0	NA
1	5760001	5800000	0	0.0	NA
1	5840001	5880000	0	0.0	NA
1	5880001	5920000	0	0.0	NA
1	6000001	6040000	0	0.0009940357852882	NA
1	6120001	6160000	0	0.0	NA
1	6160001	6200000	0	0.0	NA
1	6200001	6240000	0	0.0	NA
1	6240001	6280000	0	0.0	NA
1	6280001	6320000	0	0.0	NA
1	6320001	6360000	0	0.0	NA
1	6360001	6400000	0	0.0	NA
1	6400001	6440000	0	0.0	NA
1	6440001	6480000	0	0.0	NA
1	6480001	6520000	0	0.0	NA
1	6520001	6560000	0	0.0	NA
1	6560001	6600000	0	0.0	NA
1	6600001	6640000	0	0.0	NA
1	6760001	6800000	0	0.0009940357852882	NA
1	6800001	6840000	0	0.0	NA
1	6840001	6880000	0	0.0	NA
1	6920001	6960000	0	0.0	NA
1	6960001	7000000	0	0.0	NA
1	7000001	7040000	0	0.0	NA
1	7040001	7080000	0	0.0	NA
1	7080001	7120000	0	0.0009443339960238	NA
1	7120001	7160000	0	0.0	NA
1	7200001	7240000	0	0.0009443339960238	NA
1	7320001	7360000	0	0.0	NA
1	7360001	7400000	0	0.0	NA
1	7400001	7440000	0	0.0	NA
1	7440001	7480000	0	0.0044731610337972	NA
1	7560001	7600000	0	0.000844930417495	NA
1	7640001	7680000	0	0.0	NA
1	7680001	7720000	0	0.0	NA
1	7720001	7760000	0	0.0	NA
1	7760001	7800000	0	0.0	NA
1	7960001	8000000	0	0.0	NA
1	8000001	8040000	0	0.0	NA
1	8120001	8160000	0	0.0	NA
1	8240001	8280000	0	0.0	NA
1	8280001	8320000	0	0.0	NA
1	8320001	8360000	0	0.0	NA
1	8640001	8680000	0	0.0	NA
1	8720001	8760000	0	0.0	NA
1	8760001	8800000	0	0.0	NA
1	8840001	8880000	0	0.0	NA
1	8920001	8960000	0	0.0	NA
1	8960001	9000000	0	0.0	NA
1	9040001	9080000	0	0.0	NA
1	9080001	9120000	0	0.0	NA
1	9120001	9160000	0	0.0	NA
1	9160001	9200000	0	0.0	NA
1	9240001	9280000	0	0.0	NA
1	9280001	9320000	0	0.0009940357852882	NA
1	9320001	9360000	0	0.0969184890656063	NA
1	9360001	9400000	0	0.0	NA
1	9400001	9440000	0	0.0	NA
1	9440001	9480000	0	0.0	NA
1	9480001	9520000	0	0.0	NA
1	9520001	9560000	0	0.0	NA
1	9560001	9600000	0	0.0009940357852882	NA
1	9720001	9760000	0	0.0248508946322067	NA
1	9760001	9800000	0	0.0	NA
1	10000001	10040000	0	0.0	NA
1	10200001	10240000	0	0.025844930417495	NA
1	10320001	10360000	0	0.0	NA
1	10520001	10560000	0	0.0	NA
1	10560001	10600000	0	0.0	NA
1	10600001	10640000	0	0.0056660039761431	NA
1	10640001	10680000	0	0.0009940357852882	NA
1	10680001	10720000	0	0.0	NA
1	10720001	10760000	0	0.003976143141153	NA
1	10840001	10880000	0	0.0	NA
1	10880001	10920000	0	0.0122763419483101	NA
1	10920001	10960000	0	0.0008946322067594	NA
1	11000001	11040000	0	0.0008946322067594	NA
1	11080001	11120000	0	0.0	NA
1	11360001	11400000	0	0.0	NA
1	11440001	11480000	0	0.012624254473161	NA
1	11480001	11520000	0	0.0007952286282306	NA
1	11560001	11600000	0	0.0	NA
1	11600001	11640000	0	0.0	NA
1	11640001	11680000	0	0.0	NA
1	11680001	11720000	0	0.0	NA
1	11760001	11800000	0	0.028727634194831	NA
1	11840001	11880000	0	0.0322564612326043	NA
1	11880001	11920000	0	0.0	NA
